"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jefferson County, AL","01073","Large Fringe Metro","2","2018","2018",10,659300,1.5,0.7,2.8
,"Anchorage Borough, AK","02020","Medium Metro","3","2021","2021",10,288121,3.5,1.7,6.4
,"Maricopa County, AZ","04013","Large Central Metro","1","2018","2018",42,4410824,1.0,0.7,1.3
,"Maricopa County, AZ","04013","Large Central Metro","1","2019","2019",49,4485414,1.1,0.8,1.4
,"Maricopa County, AZ","04013","Large Central Metro","1","2020","2020",51,4579081,1.1,0.8,1.5
,"Maricopa County, AZ","04013","Large Central Metro","1","2021","2021",45,4496588,1.0,0.7,1.3
,"Maricopa County, AZ","04013","Large Central Metro","1","2022","2022",44,Not Available,Not Available,Not Available,Not Available
,"Maricopa County, AZ","04013","Large Central Metro","1","2023","2023",44,Not Available,Not Available,Not Available,Not Available
,"Maricopa County, AZ","04013","Large Central Metro","1","2024 ","2024",55,Not Available,Not Available,Not Available,Not Available
,"Pima County, AZ","04019","Large Central Metro","1","2018","2018",16,1039073,1.5,0.9,2.5
,"Pima County, AZ","04019","Large Central Metro","1","2019","2019",17,1047279,1.6,0.9,2.6
,"Pima County, AZ","04019","Large Central Metro","1","2020","2020",15,1061175,1.4,0.8,2.3
,"Pima County, AZ","04019","Large Central Metro","1","2021","2021",22,1052030,2.1,1.3,3.2
,"Pima County, AZ","04019","Large Central Metro","1","2022","2022",24,Not Available,Not Available,Not Available,Not Available
,"Pima County, AZ","04019","Large Central Metro","1","2023","2023",24,Not Available,Not Available,Not Available,Not Available
,"Pima County, AZ","04019","Large Central Metro","1","2024 ","2024",35,Not Available,Not Available,Not Available,Not Available
,"Alameda County, CA","06001","Large Central Metro","1","2018","2018",10,1666753,0.6,0.3,1.1
,"Alameda County, CA","06001","Large Central Metro","1","2021","2021",15,1648556,0.9,0.5,1.5
,"Alameda County, CA","06001","Large Central Metro","1","2022","2022",11,Not Available,Not Available,Not Available,Not Available
,"Alameda County, CA","06001","Large Central Metro","1","2023","2023",11,Not Available,Not Available,Not Available,Not Available
,"Alameda County, CA","06001","Large Central Metro","1","2024 ","2024",17,Not Available,Not Available,Not Available,Not Available
,"Contra Costa County, CA","06013","Large Fringe Metro","2","2018","2018",12,1150215,1.0,0.5,1.8
,"Fresno County, CA","06019","Large Central Metro","1","2018","2018",10,994400,1.0,0.5,1.8
,"Fresno County, CA","06019","Large Central Metro","1","2022","2022",12,Not Available,Not Available,Not Available,Not Available
,"Fresno County, CA","06019","Large Central Metro","1","2023","2023",15,Not Available,Not Available,Not Available,Not Available
,"Fresno County, CA","06019","Large Central Metro","1","2024 ","2024",15,Not Available,Not Available,Not Available,Not Available
,"Kern County, CA","06029","Medium Metro","3","2018","2018",11,896764,1.2,0.6,2.2
,"Kern County, CA","06029","Medium Metro","3","2019","2019",12,900202,1.3,0.7,2.3
,"Kern County, CA","06029","Medium Metro","3","2020","2020",22,901362,2.4,1.5,3.7
,"Kern County, CA","06029","Medium Metro","3","2021","2021",14,917673,1.5,0.8,2.6
,"Kern County, CA","06029","Medium Metro","3","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Kern County, CA","06029","Medium Metro","3","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Los Angeles County, CA","06037","Large Central Metro","1","2018","2018",36,10105518,0.4,0.2,0.5
,"Los Angeles County, CA","06037","Large Central Metro","1","2019","2019",30,10039107,0.3,0.2,0.4
,"Los Angeles County, CA","06037","Large Central Metro","1","2020","2020",44,9943046,0.4,0.3,0.6
,"Los Angeles County, CA","06037","Large Central Metro","1","2021","2021",23,9829544,0.2,0.1,0.4
,"Los Angeles County, CA","06037","Large Central Metro","1","2022","2022",16,Not Available,Not Available,Not Available,Not Available
,"Los Angeles County, CA","06037","Large Central Metro","1","2023","2023",20,Not Available,Not Available,Not Available,Not Available
,"Orange County, CA","06059","Large Central Metro","1","2018","2018",16,3185968,0.5,0.3,0.8
,"Orange County, CA","06059","Large Central Metro","1","2019","2019",15,3175692,0.5,0.3,0.8
,"Orange County, CA","06059","Large Central Metro","1","2020","2020",25,3166857,0.8,0.5,1.2
,"Orange County, CA","06059","Large Central Metro","1","2021","2021",27,3167809,0.9,0.6,1.2
,"Orange County, CA","06059","Large Central Metro","1","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Orange County, CA","06059","Large Central Metro","1","2023","2023",15,Not Available,Not Available,Not Available,Not Available
,"Orange County, CA","06059","Large Central Metro","1","2024 ","2024",18,Not Available,Not Available,Not Available,Not Available
,"Riverside County, CA","06065","Large Central Metro","1","2020","2020",10,2489188,0.4,0.2,0.7
,"Riverside County, CA","06065","Large Central Metro","1","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Riverside County, CA","06065","Large Central Metro","1","2024 ","2024",11,Not Available,Not Available,Not Available,Not Available
,"Sacramento County, CA","06067","Large Central Metro","1","2019","2019",17,1552058,1.1,0.6,1.8
,"Sacramento County, CA","06067","Large Central Metro","1","2020","2020",12,1559146,0.8,0.4,1.3
,"Sacramento County, CA","06067","Large Central Metro","1","2021","2021",16,1588921,1.0,0.6,1.6
,"Sacramento County, CA","06067","Large Central Metro","1","2022","2022",21,Not Available,Not Available,Not Available,Not Available
,"Sacramento County, CA","06067","Large Central Metro","1","2023","2023",14,Not Available,Not Available,Not Available,Not Available
,"Sacramento County, CA","06067","Large Central Metro","1","2024 ","2024",17,Not Available,Not Available,Not Available,Not Available
,"San Diego County, CA","06073","Large Central Metro","1","2018","2018",23,3343364,0.7,0.4,1.0
,"San Diego County, CA","06073","Large Central Metro","1","2019","2019",13,3338330,0.4,0.2,0.7
,"San Diego County, CA","06073","Large Central Metro","1","2020","2020",26,3332427,0.8,0.5,1.1
,"San Diego County, CA","06073","Large Central Metro","1","2021","2021",29,3286069,0.9,0.6,1.3
,"San Diego County, CA","06073","Large Central Metro","1","2022","2022",18,Not Available,Not Available,Not Available,Not Available
,"San Diego County, CA","06073","Large Central Metro","1","2023","2023",14,Not Available,Not Available,Not Available,Not Available
,"San Diego County, CA","06073","Large Central Metro","1","2024 ","2024",17,Not Available,Not Available,Not Available,Not Available
,"San Francisco County, CA","06075","Large Central Metro","1","2018","2018",24,883305,2.7,1.7,4.0
,"San Francisco County, CA","06075","Large Central Metro","1","2019","2019",24,881549,2.7,1.7,4.1
,"San Francisco County, CA","06075","Large Central Metro","1","2020","2020",27,866606,3.1,2.1,4.5
,"San Francisco County, CA","06075","Large Central Metro","1","2021","2021",23,815201,2.8,1.8,4.2
,"San Francisco County, CA","06075","Large Central Metro","1","2022","2022",28,Not Available,Not Available,Not Available,Not Available
,"San Francisco County, CA","06075","Large Central Metro","1","2023","2023",22,Not Available,Not Available,Not Available,Not Available
,"San Francisco County, CA","06075","Large Central Metro","1","2024 ","2024",15,Not Available,Not Available,Not Available,Not Available
,"San Joaquin County, CA","06077","Medium Metro","3","2018","2018",10,752660,1.3,0.6,2.4
,"San Joaquin County, CA","06077","Medium Metro","3","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Ventura County, CA","06111","Medium Metro","3","2018","2018",11,850967,1.3,0.6,2.3
,"Ventura County, CA","06111","Medium Metro","3","2023","2023",11,Not Available,Not Available,Not Available,Not Available
,"Denver County, CO","08031","Large Central Metro","1","2018","2018",11,716492,1.5,0.8,2.7
,"Denver County, CO","08031","Large Central Metro","1","2020","2020",19,735538,2.6,1.6,4.0
,"Denver County, CO","08031","Large Central Metro","1","2021","2021",16,711463,2.2,1.3,3.7
,"Denver County, CO","08031","Large Central Metro","1","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Denver County, CO","08031","Large Central Metro","1","2024 ","2024",21,Not Available,Not Available,Not Available,Not Available
,"El Paso County, CO","08041","Medium Metro","3","2020","2020",12,728310,1.6,0.9,2.9
,"El Paso County, CO","08041","Medium Metro","3","2022","2022",13,Not Available,Not Available,Not Available,Not Available
,"El Paso County, CO","08041","Medium Metro","3","2023","2023",13,Not Available,Not Available,Not Available,Not Available
,"El Paso County, CO","08041","Medium Metro","3","2024 ","2024",17,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, CO","08059","Large Fringe Metro","2","2018","2018",12,580233,2.1,1.1,3.6
,"Fairfield County, CT","09001","Not Available","9","2018","2018",24,943823,2.5,1.6,3.8
,"Fairfield County, CT","09001","Not Available","9","2019","2019",19,943332,2.0,1.2,3.1
,"Fairfield County, CT","09001","Not Available","9","2020","2020",24,942426,2.5,1.6,3.8
,"Fairfield County, CT","09001","Not Available","9","2021","2021",29,959768,3.0,2.0,4.3
,"Fairfield County, CT","09001","Not Available","9","2022","2022",24,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Not Available","9","2023","2023",37,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","Not Available","9","2024 ","2024",23,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Not Available","9","2018","2018",15,892697,1.7,0.9,2.8
,"Hartford County, CT","09003","Not Available","9","2020","2020",23,889226,2.6,1.6,3.9
,"Hartford County, CT","09003","Not Available","9","2021","2021",24,896854,2.7,1.7,4.0
,"Hartford County, CT","09003","Not Available","9","2022","2022",31,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Not Available","9","2023","2023",30,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","Not Available","9","2024 ","2024",30,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Not Available","9","2018","2018",21,857620,2.4,1.5,3.7
,"New Haven County, CT","09009","Not Available","9","2019","2019",39,854757,4.6,3.2,6.2
,"New Haven County, CT","09009","Not Available","9","2020","2020",34,851948,4.0,2.8,5.6
,"New Haven County, CT","09009","Not Available","9","2021","2021",44,863700,5.1,3.7,6.8
,"New Haven County, CT","09009","Not Available","9","2022","2022",51,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Not Available","9","2023","2023",41,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","Not Available","9","2024 ","2024",45,Not Available,Not Available,Not Available,Not Available
,"New London County, CT","09011","Not Available","9","2020","2020",13,264999,4.9,2.6,8.4
,"New Castle County, DE","10003","Large Fringe Metro","2","2018","2018",12,559335,2.1,1.1,3.7
,"New Castle County, DE","10003","Large Fringe Metro","2","2019","2019",17,558753,3.0,1.8,4.9
,"New Castle County, DE","10003","Large Fringe Metro","2","2020","2020",20,561531,3.6,2.2,5.5
,"New Castle County, DE","10003","Large Fringe Metro","2","2021","2021",29,571708,5.1,3.4,7.3
,"New Castle County, DE","10003","Large Fringe Metro","2","2022","2022",14,Not Available,Not Available,Not Available,Not Available
,"New Castle County, DE","10003","Large Fringe Metro","2","2023","2023",28,Not Available,Not Available,Not Available,Not Available
,"New Castle County, DE","10003","Large Fringe Metro","2","2024 ","2024",21,Not Available,Not Available,Not Available,Not Available
,"Sussex County, DE","10005","Micropolitan (Nonmetro)","5","2020","2020",11,241635,4.6,2.3,8.1
,"Sussex County, DE","10005","Micropolitan (Nonmetro)","5","2022","2022",14,Not Available,Not Available,Not Available,Not Available
,"District of Columbia, DC","11001","Large Central Metro","1","2018","2018",10,702455,1.4,0.7,2.6
,"District of Columbia, DC","11001","Large Central Metro","1","2019","2019",15,705749,2.1,1.2,3.5
,"District of Columbia, DC","11001","Large Central Metro","1","2020","2020",30,712816,4.2,2.8,6.0
,"District of Columbia, DC","11001","Large Central Metro","1","2021","2021",22,670050,3.3,2.1,5.0
,"District of Columbia, DC","11001","Large Central Metro","1","2022","2022",21,Not Available,Not Available,Not Available,Not Available
,"District of Columbia, DC","11001","Large Central Metro","1","2023","2023",14,Not Available,Not Available,Not Available,Not Available
,"District of Columbia, DC","11001","Large Central Metro","1","2024 ","2024",16,Not Available,Not Available,Not Available,Not Available
,"Brevard County, FL","12009","Medium Metro","3","2018","2018",14,596849,2.3,1.3,3.9
,"Broward County, FL","12011","Large Fringe Metro","2","2020","2020",11,1958105,0.6,0.3,1.0
,"Broward County, FL","12011","Large Fringe Metro","2","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Duval County, FL","12031","Large Central Metro","1","2018","2018",13,950181,1.4,0.7,2.3
,"Duval County, FL","12031","Large Central Metro","1","2019","2019",14,957755,1.5,0.8,2.5
,"Duval County, FL","12031","Large Central Metro","1","2020","2020",23,966728,2.4,1.5,3.6
,"Duval County, FL","12031","Large Central Metro","1","2021","2021",19,999935,1.9,1.1,3.0
,"Duval County, FL","12031","Large Central Metro","1","2022","2022",18,Not Available,Not Available,Not Available,Not Available
,"Duval County, FL","12031","Large Central Metro","1","2023","2023",13,Not Available,Not Available,Not Available,Not Available
,"Duval County, FL","12031","Large Central Metro","1","2024 ","2024",15,Not Available,Not Available,Not Available,Not Available
,"Hillsborough County, FL","12057","Large Central Metro","1","2018","2018",16,1436888,1.1,0.6,1.8
,"Hillsborough County, FL","12057","Large Central Metro","1","2019","2019",12,1471968,0.8,0.4,1.4
,"Hillsborough County, FL","12057","Large Central Metro","1","2020","2020",13,1497957,0.9,0.5,1.5
,"Hillsborough County, FL","12057","Large Central Metro","1","2021","2021",18,1478194,1.2,0.7,1.9
,"Hillsborough County, FL","12057","Large Central Metro","1","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Hillsborough County, FL","12057","Large Central Metro","1","2023","2023",16,Not Available,Not Available,Not Available,Not Available
,"Hillsborough County, FL","12057","Large Central Metro","1","2024 ","2024",12,Not Available,Not Available,Not Available,Not Available
,"Orange County, FL","12095","Large Central Metro","1","2018","2018",12,1380645,0.9,0.4,1.5
,"Orange County, FL","12095","Large Central Metro","1","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Orange County, FL","12095","Large Central Metro","1","2023","2023",13,Not Available,Not Available,Not Available,Not Available
,"Palm Beach County, FL","12099","Large Fringe Metro","2","2020","2020",12,1507600,0.8,0.4,1.4
,"Palm Beach County, FL","12099","Large Fringe Metro","2","2021","2021",14,1497987,0.9,0.5,1.6
,"Palm Beach County, FL","12099","Large Fringe Metro","2","2022","2022",12,Not Available,Not Available,Not Available,Not Available
,"Pinellas County, FL","12103","Large Central Metro","1","2018","2018",14,975280,1.4,0.8,2.4
,"Volusia County, FL","12127","Medium Metro","3","2021","2021",10,564412,1.8,0.8,3.3
,"Volusia County, FL","12127","Medium Metro","3","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Cobb County, GA","13067","Large Fringe Metro","2","2021","2021",10,766802,1.3,0.6,2.4
,"Fulton County, GA","13121","Large Central Metro","1","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Cook County, IL","17031","Large Central Metro","1","2018","2018",79,5180493,1.5,1.2,1.9
,"Cook County, IL","17031","Large Central Metro","1","2019","2019",91,5150233,1.8,1.4,2.2
,"Cook County, IL","17031","Large Central Metro","1","2020","2020",157,5108284,3.1,2.6,3.6
,"Cook County, IL","17031","Large Central Metro","1","2021","2021",111,5173146,2.1,1.7,2.5
,"Cook County, IL","17031","Large Central Metro","1","2022","2022",106,Not Available,Not Available,Not Available,Not Available
,"Cook County, IL","17031","Large Central Metro","1","2023","2023",99,Not Available,Not Available,Not Available,Not Available
,"Cook County, IL","17031","Large Central Metro","1","2024 ","2024",82,Not Available,Not Available,Not Available,Not Available
,"Lake County, IN","18089","Large Fringe Metro","2","2018","2018",10,484411,2.1,1.0,3.8
,"Lake County, IN","18089","Large Fringe Metro","2","2019","2019",15,485493,3.1,1.7,5.1
,"Marion County, IN","18097","Large Central Metro","1","2020","2020",11,966183,1.1,0.6,2.0
,"Marion County, IN","18097","Large Central Metro","1","2021","2021",13,971102,1.3,0.7,2.3
,"Marion County, IN","18097","Large Central Metro","1","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Marion County, IN","18097","Large Central Metro","1","2023","2023",12,Not Available,Not Available,Not Available,Not Available
,"Marion County, IN","18097","Large Central Metro","1","2024 ","2024",17,Not Available,Not Available,Not Available,Not Available
,"Sedgwick County, KS","20173","Medium Metro","3","2019","2019",11,516042,2.1,1.1,3.8
,"Sedgwick County, KS","20173","Medium Metro","3","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, KY","21111","Large Central Metro","1","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"Jefferson Parish, LA","22051","Medium Metro","3","2021","2021",11,433688,2.5,1.3,4.5
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2018","2018",11,576031,1.9,1.0,3.4
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2019","2019",14,579234,2.4,1.3,4.1
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2020","2020",16,582777,2.7,1.6,4.5
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2021","2021",25,590336,4.2,2.7,6.3
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2022","2022",17,Not Available,Not Available,Not Available,Not Available
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2023","2023",16,Not Available,Not Available,Not Available,Not Available
,"Anne Arundel County, MD","24003","Large Fringe Metro","2","2024 ","2024",19,Not Available,Not Available,Not Available,Not Available
,"Baltimore County, MD","24005","Large Fringe Metro","2","2018","2018",42,828431,5.1,3.7,6.9
,"Baltimore County, MD","24005","Large Fringe Metro","2","2019","2019",39,827370,4.7,3.4,6.4
,"Baltimore County, MD","24005","Large Fringe Metro","2","2020","2020",48,826017,5.8,4.3,7.7
,"Baltimore County, MD","24005","Large Fringe Metro","2","2021","2021",47,849316,5.5,4.1,7.4
,"Baltimore County, MD","24005","Large Fringe Metro","2","2022","2022",33,Not Available,Not Available,Not Available,Not Available
,"Baltimore County, MD","24005","Large Fringe Metro","2","2023","2023",31,Not Available,Not Available,Not Available,Not Available
,"Baltimore County, MD","24005","Large Fringe Metro","2","2024 ","2024",34,Not Available,Not Available,Not Available,Not Available
,"Carroll County, MD","24013","Large Fringe Metro","2","2021","2021",12,173873,6.9,3.6,12.1
,"Cecil County, MD","24015","Large Fringe Metro","2","2022","2022",11,Not Available,Not Available,Not Available,Not Available
